publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
Grand Central,0,,David Baldacci,1455521280,0,9.78E+12,,by David Baldacci,,7/7/13,THE HIT,NA,9,1
Tracey Garvis-Graves,0,,Tracey Garvis-Graves,None,0,A00B005L9B5YU,,by Tracey Garvis-Graves,,6/24/12,ON THE ISLAND,NA,9,3
Random House,0,https://www.nytimes.com/2016/06/05/books/review/the-girls-by-emma-cline.html,Emma Cline,812998618,0,9.78E+12,,by Emma Cline,,8/21/16,THE GIRLS,NA,8,1
Picador,0,,Michael Punke,1250072689,0,9.78E+12,,by Michael Punke,,3/20/16,THE REVENANT,NA,8,1
Scribner,0,,Stephen King,1501111671,0,9.78E+12,,by Stephen King,,1/10/16,THE BAZAAR OF BAD DREAMS,NA,8,5
Putnam,0,,Nora Roberts,None,0,9.78E+12,,by Nora Roberts,,7/26/15,WHISKEY BEACH,NA,8,1
Delacorte,0,https://www.nytimes.com/2013/08/30/books/never-go-back-a-jack-reacher-novel-by-lee-child.html,Lee Child,440246326,0,9.78E+12,,by Lee Child,,4/27/14,NEVER GO BACK,NA,8,3
Broadway,0,,Max Brooks,307351939,0,9.78E+12,,by Max Brooks,,7/28/13,WORLD WAR Z,NA,8,3
"Little, Brown & Company",0,,James Patterson,316210692,0,9.78E+12,,by James Patterson,,1/20/13,"MERRY CHRISTMAS, ALEX CROSS",NA,8,4
"Little, Brown",0,,Michael Connelly,316225959,0,9.78E+12,,by Michael Connelly,,1/15/17,THE WRONG SIDE OF GOODBYE,NA,7,5
"Little, Brown",0,https://www.nytimes.com/2011/11/24/books/the-drop-by-michael-connelly-review.html,Michael Connelly,None,0,9.78E+12,,by Michael Connelly,,3/27/16,THE DROP,NA,7,1
"Little, Brown",0,,James Patterson,316407143,0,9.78E+12,,by James Patterson,,1/24/16,CROSS JUSTICE,NA,7,1
Scribner,0,https://www.nytimes.com/2014/11/14/books/stephen-kings-revival.html,Stephen King,1476770387,0,9.78E+12,https://www.nytimes.com/2014/11/23/books/review/stephen-kings-revival.html,by Stephen King,,1/11/15,REVIVAL,NA,7,1
