publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
Ballantine,0,,Tess Gerritsen,345549635,0,9.78E+12,,by Tess Gerritsen,,3/13/16,GIRL MISSING,NA,1,1
Kensington,0,,Joanne Fluke,1617732176,0,9.78E+12,,by Joanne Fluke,,3/13/16,WEDDING CAKE MURDER,NA,1,3
HQN,0,,Lori Foster,1459292413,0,9.78E+12,,by Lori Foster,,3/13/16,FIGHTING DIRTY,NA,1,1
Jove,0,,Nora Roberts,None,0,9.78E+12,,by Nora Roberts,,3/6/16,THE NEXT ALWAYS,NA,1,3
Metal Blonde,0,,Karina Halle,None,0,A00B01BMKXYNQ,,by Karina Halle,,3/6/16,THE LIE,NA,1,1
Del Rey,0,,Pierce Brown,345539850,0,9.78E+12,,by Pierce Brown,,2/28/16,MORNING STAR,NA,1,1
Putnam,0,,Alex Berenson,None,0,9.78E+12,,by Alex Berenson,,2/28/16,THE WOLVES,NA,1,1
Vintage,0,,P D James,307758982,0,9.78E+12,,by P. D. James,,2/28/16,A TASTE FOR DEATH,NA,1,4
Gallery Books,0,,Christina Lauren,1476777993,0,9.78E+12,,by Christina Lauren,,2/21/16,WICKED SEXY LIAR,NA,1,3
Jove,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,,2/14/16,SPIDER GAME,NA,1,1
Tor/Tom Doherty,0,,Brandon Sanderson,146686267X,0,9.78E+12,,by Brandon Sanderson,,2/14/16,THE BANDS OF MOURNING,NA,1,4
Avon,0,,Eloisa James,62389440,0,9.78E+12,,by Eloisa James,,2/14/16,MY AMERICAN DUCHESS,NA,1,3
Del Rey,0,,Kevin Hearne,345548523,0,9.78E+12,,by Kevin Hearne,,2/14/16,STAKED,NA,1,1
Simon & Schuster,0,,Sandra Brown,1416563229,0,9.78E+12,,by Sandra Brown,,2/14/16,TOUGH CUSTOMER,NA,1,1
Delacorte,0,,Karen Marie Moning,440339820,0,9.78E+12,,by Karen Marie Moning,,2/7/16,FEVERBORN,NA,1,1
Harper,0,,Bernard Cornwell,62250965,0,9.78E+12,,by Bernard Cornwell,,2/7/16,WARRIORS OF THE STORM,NA,1,4
Elle Kennedy,0,,Elle Kennedy,None,0,9.78E+12,,by Elle Kennedy,,1/31/16,THE SCORE,NA,1,1
Kristen Ashley,0,,Kristen Ashley,,0,A00B0182LT4L4,,by Kristen Ashley,,1/31/16,SEBRING,NA,1,1
Dutton,0,,Tami Hoag,698190831,0,9.78E+12,,by Tami Hoag,,1/31/16,THE BITTER SEASON,NA,1,3
Morrow/HarperCollins,0,,Jay Crownover,006238595X,0,9.78E+12,,by Jay Crownover,,1/24/16,BUILT,NA,1,1
Kensington,0,,Fern Michaels,None,0,9.78E+12,,by Fern Michaels,,1/17/16,POINT BLANK,NA,1,1
Dutton,0,,Brad Taylor,698404149,0,9.78E+12,,by Brad Taylor,,1/17/16,THE FORGOTTEN SOLDIER,NA,1,3
HQN,0,,Kristan Higgins,1460391896,0,9.78E+12,,by Kristan Higgins,,1/17/16,ANYTHING FOR YOU,NA,1,3
Morrow/HarperCollins,0,,James Rollins,62381636,0,9.78E+12,,by James Rollins,,1/3/16,THE BONE LABYRINTH,NA,1,3
Berkley,0,,Jayne Ann Krentz,,0,9.78E+12,,by Jayne Ann Krentz,,12/27/15,SECRET SISTERS,NA,1,1
Signet,0,,J R Ward,,0,9.78E+12,,by J. R. Ward,,12/20/15,BLOOD KISS,NA,1,1
Jove,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,,12/13/15,WILD CAT,NA,1,1
Kendall Ryan,0,,Kendall Ryan,None,0,A00B014X8XL1Y,,by Kendall Ryan,,12/6/15,MONSTER ________,NA,1,1
Simon & Schuster,0,,Richard Paul Evans,1501119796,0,9.78E+12,,by Richard Paul Evans,,12/6/15,THE MISTLETOE INN,NA,1,3
Morrow/HarperCollins,0,,Kim van Alkemade,62338315,0,9.78E+12,,by Kim van Alkemade,,12/6/15,ORPHAN #8,NA,1,1
Atria,0,,Colleen Hoover,1501110357,0,9.78E+12,,by Colleen Hoover,,11/29/15,9-Nov,NA,1,1
Berkley,0,,Joanna Wylde,None,0,9.78E+12,,by Joanna Wylde,,11/29/15,REAPER'S FALL,NA,1,3
Simon & Schuster,0,,John Irving,1451664168,0,9.78E+12,https://www.nytimes.com/2015/11/29/books/review/john-irvings-avenue-of-mysteries.html,by John Irving,,11/22/15,AVENUE OF MYSTERIES,NA,1,3
Crown Archetype,0,,Gillian Flynn,080418898X,0,9.78E+12,,by Gillian Flynn,,11/22/15,THE GROWNUP,NA,1,1
Berkley,0,,Marie Force,None,0,9.78E+12,,by Marie Force,,11/22/15,IT'S ONLY LOVE,NA,1,4
Viking,0,,Elizabeth George,,0,9.78E+12,,by Elizabeth George,,11/15/15,A BANQUET OF CONSEQUENCES,NA,1,4
Forever,0,,Kristen Ashley,1455533246,0,9.78E+12,,by Kristen Ashley,,11/15/15,WALK THROUGH FIRE,NA,1,3
Berkley,0,,Maya Banks,None,0,9.78E+12,,by Maya Banks,,11/15/15,DARKEST BEFORE DAWN,NA,1,3
Avon,0,,Lisa Kleypas,None,0,9.78E+12,,by Lisa Kleypas,,11/15/15,COLD-HEARTED RAKE,NA,1,3
Pantheon,0,,Alexander McCall Smith,None,0,9.78E+12,,by Alexander McCall Smith,,11/15/15,THE WOMAN WHO WALKED IN SUNSHINE,NA,1,6
St. Martin's,0,,Lisa Scottoline,1250027942,0,9.78E+12,,by Lisa Scottoline,,11/15/15,CORRUPTED,NA,1,1
Atria,0,,Kate Morton,1451649371,0,9.78E+12,,by Kate Morton,,11/8/15,THE LAKE HOUSE,NA,1,3
Harper Perennial/HarperCollins,0,,Joseph Fink and Jeffrey Cranor,62351427,0,9.78E+12,,by Joseph Fink and Jeffrey Cranor,,11/8/15,WELCOME TO NIGHT VALE,NA,1,4
Tijan,0,,Tijan,None,0,A00B016TO0AOG,,by Tijan,,11/8/15,KIAN,NA,1,1
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,,11/1/15,FOREIGN AFFAIRS,NA,1,1
Knopf,0,,Garth Risk Hallberg,385353774,0,9.78E+12,https://www.nytimes.com/2015/10/11/books/review/garth-risk-hallbergs-city-on-fire.html,by Garth Risk Hallberg,,11/1/15,CITY ON FIRE,NA,1,3
Tor/Tom Doherty,0,,David Weber,142994983X,0,9.78E+12,,by David Weber,,11/1/15,HELL'S FOUNDATIONS QUIVER,NA,1,4
Tor/Tom Doherty,0,,Brandon Sanderson,1466862661,0,9.78E+12,,by Brandon Sanderson,,10/25/15,SHADOWS OF SELF,NA,1,3
Ballantine,0,,Debbie Macomber,553391704,0,9.78E+12,,by Debbie Macomber,,10/25/15,DASHING THROUGH THE SNOW,NA,1,4
Putnam,0,,John Sandford and Ctein,698411676,0,9.78E+12,,by John Sandford and Ctein,,10/25/15,SATURN RUN,NA,1,1
ROC,0,,Jim Butcher,698138007,0,9.78E+12,,by Jim Butcher,,10/18/15,THE AERONAUT'S WINDLASS,NA,1,4
Jove,0,,J D Robb and others,None,0,9.78E+12,,by J. D. Robb and others,,10/18/15,DOWN THE RABBIT HOLE,NA,1,4
Avon,0,,Lynsay Sands,None,0,9.78E+12,,by Lynsay Sands,,10/18/15,ABOUT A VAMPIRE,NA,1,3
St. Martin's,0,,Iris Johansen,None,0,9.78E+12,,by Iris Johansen,,10/18/15,SHADOW PLAY,NA,1,1
Mira,0,,Heather Graham,None,0,9.78E+12,,by Heather Graham,,10/18/15,THE HIDDEN,NA,1,1
Ballantine,0,,Kristin Hannah,307756963,0,9.78E+12,,by Kristin Hannah,,10/11/15,ANGEL FALLS,NA,1,1
Ballantine,0,,Debbie Macomber,None,0,9.78E+12,,by Debbie Macomber,,10/11/15,THE WAY TO A MAN'S HEART,NA,1,7
Kingswell,0,,Richard Castle,1484720342,0,9.78E+12,,by Richard Castle,,10/11/15,RAGING HEAT,NA,1,1
Forever,0,,Meredith Wild,1455591742,0,9.78E+12,,by Meredith Wild,,10/4/15,HARD LOVE,NA,1,1
Carina,0,,Marie Force,142689998X,0,9.78E+12,,by Marie Force,,10/4/15,FATAL FRENZY,NA,1,1
Morrow/HarperCollins,0,,J A Jance,62297686,0,9.78E+12,,by J. A. Jance,,9/27/15,DANCE OF THE BONES,NA,1,4
Putnam,0,,Reed Farrel Coleman,None,0,9.78E+12,,by Reed Farrel Coleman,,9/27/15,ROBERT B. PARKER'S THE DEVIL WINS,NA,1,7
Putnam,0,,Clive Cussler and Russell Blake,698192095,0,9.78E+12,,by Clive Cussler and Russell Blake,,9/20/15,THE SOLOMON CURSE,NA,1,3
Berkley,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,,9/20/15,DARK GHOST,NA,1,1
Signet,0,,Mary Balogh,698156102,0,9.78E+12,,by Mary Balogh,,9/20/15,ONLY A KISS,NA,1,3
Minotaur,0,,Louise Penny,1250022096,0,9.78E+12,,by Louise Penny,,9/13/15,THE NATURE OF THE BEAST,NA,1,5
Touchstone,0,,Philippa Gregory,1476758824,0,9.78E+12,,by Philippa Gregory,,9/13/15,THE TAMING OF THE QUEEN,NA,1,5
JMC Creations,0,,JS Cooper,1940218403,0,9.78E+12,,by J.S. Cooper,,9/6/15,FOUR WEEK FIANCÌä,NA,1,4
HTJB,0,,Marie Force,1942295332,0,9.78E+12,,by Marie Force,,9/6/15,LOVE AFTER DARK,NA,1,3
HarperCollins,0,https://www.nytimes.com/2004/12/13/books/13kaku.html,Michael Crichton,006175272X,0,9.78E+12,https://www.nytimes.com/2005/01/30/books/review/30BARCOTT.html,by Michael Crichton,,8/30/15,STATE OF FEAR,NA,1,3
Dutton/Penguin Publishing Group,0,,Linda Fairstein,,0,9.78E+12,,by Linda Fairstein,,8/30/15,DEVIL'S BRIDGE,NA,1,3
Ace,0,,Ilona Andrews,,0,9.78E+12,,by Ilona Andrews,,8/23/15,MAGIC SHIFTS,NA,1,1
St. Martin's,0,,Sherrilyn Kenyon,1250029953,0,9.78E+12,,by Sherrilyn Kenyon,,8/23/15,DRAGONBANE,NA,1,1
Jove,0,,"Christine Feehan, Maggie Shayne and Lori Herter",None,0,9.78E+12,,"by Christine Feehan, Maggie Shayne and Lori Herter",,8/23/15,EDGE OF DARKNESS,NA,1,3
Putnam,0,,W E B Griffin and William E Butterworth IV,,0,9.78E+12,,by W. E. B. Griffin and William E. Butterworth IV,,8/23/15,DEADLY ASSETS,NA,1,1
Harlequin,0,,Susan Mallery,1460384016,0,9.78E+12,,by Susan Mallery,,8/16/15,THRILL ME,NA,1,1
Jove,0,,Jayne Castle,None,0,9.78E+12,,by Jayne Castle,,8/16/15,SIREN'S CALL,NA,1,3
Minotaur,0,,C J Box,146688150X,0,9.78E+12,,by C. J. Box,,8/16/15,BADLANDS,NA,1,1
Zebra/Mulholland,0,,Lisa Jackson,1420136062,0,9.78E+12,,by Lisa Jackson,,8/16/15,NEVER DIE ALONE,NA,1,3
NAL,0,,JR Ward,None,0,9.78E+12,,by  J.R. Ward,,8/16/15,THE BOURBON KINGS,NA,1,3
Bantam,0,,Kathy Reichs,345544056,0,9.78E+12,,by Kathy Reichs,,8/9/15,SPEAKING IN BONES,NA,1,3
Crown,0,,Ernest Cline,804137250,0,9.78E+12,,by Ernest Cline,,8/2/15,ARMADA,NA,1,1
Jove,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,,7/26/15,EARTH BOUND,NA,1,1
Forever,0,,Kristen Ashley,,0,9.78E+12,,by Kristen Ashley,,7/19/15,RIDE STEADY,NA,1,1
Dutton,0,,Brad Taylor,,0,9.78E+12,,by Brad Taylor,,7/19/15,THE INSIDER THREAT,NA,1,3
HQN,0,,Susan Mallery,None,0,9.78E+12,,by Susan Mallery,,7/19/15,KISS ME,NA,1,1
Zebra,0,,Fern Michaels,1420135953,0,9.78E+12,,by Fern Michaels,,7/19/15,IN PLAIN SIGHT,NA,1,3
Bantam,0,,Janet Evanovich and Phoef Sutton,553392727,0,9.78E+12,,by Janet Evanovich and Phoef Sutton,,7/12/15,WICKED CHARMS,NA,1,1
Avon,0,,Maya Banks,62312510,0,9.78E+12,,by Maya Banks,,7/12/15,SAFE AT LAST,NA,1,3
Ballantine,0,,Jude Deveraux,345541863,0,9.78E+12,,by Jude Deveraux,,7/12/15,EVER AFTER,NA,1,1
Berkley,0,,Laurell K Hamilton,698140303,0,9.78E+12,,by Laurell K. Hamilton,,6/28/15,DEAD ICE,NA,1,1
Signet,0,,Mary Balogh,None,0,9.78E+12,,by Mary Balogh,,6/28/15,ONLY A PROMISE,NA,1,3
Denise Grover Swank,0,,Denise Grover Swank,1939996236,0,9.78E+12,,by Denise Grover Swank,,6/28/15,THE SUBSTITUTE,NA,1,1
Dutton,0,,Joseph Finder,069819084X,0,9.78E+12,https://www.nytimes.com/2015/06/14/books/review/the-fixer-by-joseph-finder.html,by Joseph Finder,,6/28/15,THE FIXER,NA,1,1
Signet,0,,K Bromberg,None,0,9.78E+12,,by K. Bromberg,,6/21/15,SWEET ACHE,NA,1,1
Berkley,0,,Nalini Singh,None,0,9.78E+12,,by Nalini Singh,,6/21/15,SHARDS OF HOPE,NA,1,3
Mira,0,,Stephanie Laurens,992278988,0,9.78E+12,,by Stephanie Laurens,,6/14/15,A MATCH FOR MARCUS CYNSTER,NA,1,5
Harlequin,0,,Linda Lael Miller,1460381807,0,9.78E+12,,by Linda Lael Miller,,6/14/15,THE MARRIAGE SEASON,NA,1,3
Sydney Landon,0,,Sydney Landon,None,0,A00B00U1X88OQ,,by Sydney Landon,,6/14/15,MENDED,NA,1,1
Atria Books,0,,Lisa Jewell,1476703019,0,9.78E+12,,by Lisa Jewell,,6/14/15,THE HOUSE WE GREW UP IN,NA,1,6
Zebra,0,,Kat Martin,None,0,9.78E+12,,by Kat Martin,,6/14/15,AGAINST THE TIDE,NA,1,3
Doubleday,0,,Lincoln Child,385531419,0,9.78E+12,,by Lincoln Child,,5/31/15,THE FORGOTTEN ROOM,NA,1,3
Viking,0,,Craig Johnson,698157516,0,9.78E+12,,by Craig Johnson,,5/31/15,DRY BONES,NA,1,1
Grand Central,0,,Jeffery Deaver,145551716X,0,9.78E+12,,by Jeffery Deaver,,5/31/15,SOLITUDE CREEK,NA,1,1
Hoover Ink,0,,Colleen Hoover and Tarryn Fisher,None,0,A00B00TUXIF9G,,by Colleen Hoover and Tarryn Fisher,,5/31/15,NEVER NEVER,NA,1,1
Jove,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,,5/24/15,CAT'S LAIR,NA,1,3
Atria,0,,John Lescroart,,0,9.78E+12,,by John Lescroart,,5/24/15,THE FALL,NA,1,1
HQN,0,,Susan Mallery,None,0,9.78E+12,,by Susan Mallery,,5/17/15,HOLD ME,NA,1,1
St. Martin's,0,,Iris Johansen,1250020077,0,9.78E+12,,by Iris Johansen,,5/17/15,YOUR NEXT BREATH,NA,1,3
Elle Kennedy,0,,Elle Kennedy,None,0,9.78E+12,,by Elle Kennedy,,5/17/15,THE MISTAKE,NA,1,1
Denise Grover Swank,0,,Denise Grover Swank,1939996260,0,9.78E+12,,by Denise Grover Swank,,5/17/15,THIRTY-FOUR AND A HALF PREDICAMENTS,NA,1,6
Rerum Industries,0,,R L Mathewson,988573237,0,9.78E+12,,by R. L. Mathewson,,5/17/15,DOUBLE DARE,NA,1,1
Putnam,0,,Amanda Quick,1101621044,0,9.78E+12,,by Amanda Quick,,5/10/15,GARDEN OF LIES,NA,1,3
Morrow/HarperCollins,0,,Jay Crownover,62333089,0,9.78E+12,,by Jay Crownover,,5/10/15,ASA,NA,1,1
InterMix,0,,Penelope Douglas,None,0,9.78E+12,,by Penelope Douglas,,5/10/15,AFLAME,NA,1,1
Simon & Schuster,0,,Christina Lauren,1476778019,0,9.78E+12,,by Christina Lauren,,5/3/15,BEAUTIFUL SECRET,NA,1,1
Aurora Rose Reynolds,0,,Aurora Rose Reynolds,None,0,A00B00VNAB1MW,,by Aurora Rose Reynolds,,5/3/15,UNTIL JULY,NA,1,1
Ballantine,0,,Jude Deveraux,None,0,9.78E+12,,by Jude Deveraux,,5/3/15,TRUE LOVE,NA,1,1
Jove,0,,Kay Hooper,None,0,9.78E+12,,by Kay Hooper,,4/26/15,A DEADLY WEB,NA,1,3
Atria,0,,Abbi Glines,1476776105,0,9.78E+12,,by Abbi Glines,,4/26/15,WHEN I'M GONE,NA,1,4
Atlantic Monthly,0,,Donna Leon,802191835,0,9.78E+12,,by Donna Leon,,4/26/15,FALLING IN LOVE,NA,1,3
Oak Press,0,,Bella Andre,1938127595,0,9.78E+12,,by Bella Andre,,4/26/15,ALL I EVER NEED IS YOU,NA,1,6
Berkley,0,,Jill Shalvis,,0,9.78E+12,,by Jill Shalvis,,4/26/15,STILL THE ONE,NA,1,3
Berkley,0,,Joanna Wylde,None,0,9.78E+12,,by Joanna Wylde,,4/26/15,SILVER BASTARD,NA,1,1
New American Library,0,,J R Ward,None,0,9.78E+12,,by J. R. Ward,,4/19/15,THE SHADOWS,NA,1,1
Minotaur,0,,Steve Berry,1466862602,0,9.78E+12,,by Steve Berry,,4/19/15,THE PATRIOT THREAT,NA,1,3
St. Martin's Griffin,0,,Kylie Scott,1466854227,0,9.78E+12,,by Kylie Scott,,4/19/15,DEEP,NA,1,1
Avon,0,,Eloisa James,None,0,9.78E+12,,by Eloisa James,,4/19/15,FOUR NIGHTS WITH THE DUKE,NA,1,5
Del Rey,0,,Peter V Brett,804177473,0,9.78E+12,,by Peter V. Brett,,4/19/15,THE SKULL THRONE,NA,1,3
Julia Kent,0,,Julia Kent,None,0,A00B00S2TO9JY,,by Julia Kent,,4/12/15,SHOPPING FOR A BILLIONAIRE,NA,1,4
Kensington,0,,Gregg Olsen,None,0,9.78E+12,,by Gregg Olsen,,4/12/15,A WICKED SNOW,NA,1,3
Putnam,0,,Randy Wayne White,,0,9.78E+12,,by Randy Wayne White,,4/12/15,CUBA STRAITS,NA,1,1
Simon & Schuster,0,,Katy Evans,1501101560,0,9.78E+12,,by Katy Evans,,4/12/15,MANWHORE,NA,1,1
Harper,0,,Jacqueline Winspear,62220578,0,9.78E+12,,by Jacqueline Winspear,,4/5/15,A DANGEROUS PLACE,NA,1,3
Harper,0,,Michael Crichton,61750239,0,9.78E+12,https://www.nytimes.com/2002/11/24/books/it-s-the-little-things.html,by Michael Crichton,,4/5/15,PREY,NA,1,1
Kristen Ashley,0,,Kristen Ashley,None,0,A00B00S5B70BS,,by Kristen Ashley,,4/5/15,SOARING,NA,1,1
Pepper Winters,0,,Pepper Winters,None,0,A00B00UIPVOMK,,by Pepper Winters,,4/5/15,MONSTERS IN THE DARK,NA,1,4
Atria,0,,Colleen Hoover,1476791465,0,9.78E+12,,by Colleen Hoover,,3/29/15,CONFESS,NA,1,1
Ace,0,,Patricia Briggs,,0,9.78E+12,,by Patricia Briggs,,3/22/15,DEAD HEAT,NA,1,1
Berkley,0,,Marie Force,,0,9.78E+12,,by Marie Force,,3/22/15,AND I LOVE HER,NA,1,4
Knopf,0,,Kazuo Ishiguro,030727103X,0,9.78E+12,https://www.nytimes.com/2015/03/01/books/review/kazuo-ishiguros-the-buried-giant.html,by Kazuo Ishiguro,,3/22/15,THE BURIED GIANT,NA,1,3
St. Martin's Press,0,,Jeffrey Archer,1250034507,0,9.78E+12,,by Jeffrey Archer,,3/15/15,MIGHTIER THAN THE SWORD,NA,1,4
Avon/HarperCollins,0,,Lynsay Sands,,0,9.78E+12,,by Lynsay Sands,,3/15/15,THE IMMORTAL WHO LOVED ME,NA,1,5
Holt,0,,Richard Price writing as Harry Brandt,1429974125,0,9.78E+12,,by Richard Price writing as Harry Brandt,,3/8/15,THE WHITES,NA,1,1
Forever/Grand Central,0,,Jodi Ellen Malpas,1455559385,0,9.78E+12,,by Jodi Ellen Malpas,,3/1/15,ONE NIGHT: UNVEILED,NA,1,3
Putnam,0,,Alex Berenson,,0,9.78E+12,,by Alex Berenson,,3/1/15,TWELVE DAYS,NA,1,1
Pocket Star,0,,Christina Lauren,None,0,9.78E+12,,by Christina Lauren,,2/22/15,BEAUTIFUL BELOVED,NA,1,1
Science Future Press,0,,J A Huss,1936413787,0,9.78E+12,,by J. A. Huss,,2/22/15,"THREE, TWO, ONE (321)",NA,1,5
Jove,0,,Christine Feehan,698180569,0,9.78E+12,,by Christine Feehan,,2/15/15,VIPER GAME,NA,1,1
Jamie McGuire,0,,Jamie McGuire,None,0,A00B00Q6JAL76,,by Jamie McGuire,,2/15/15,BEAUTIFUL REDEMPTION,NA,1,1
Avon/HarperCollins,0,,Julia Quinn,None,0,9.78E+12,,by Julia Quinn,,2/15/15,THE SECRETS OF SIR RICHARD KENWORTHY,NA,1,6
Avon/HarperCollins,0,,Jeaniene Frost,62075829,0,9.78E+12,,by Jeaniene Frost,,2/15/15,BOUND BY FLAMES,NA,1,3
Avon/HarperCollins,0,,Maya Banks,None,0,9.78E+12,,by Maya Banks,,2/15/15,IN HIS KEEPING,NA,1,3
Delacorte,0,,Karen Marie Moning,440339812,0,9.78E+12,,by Karen Marie Moning,,2/8/15,BURNED,NA,1,1
St. Martin's,0,,Sarah Addison Allen,1250019842,0,9.78E+12,,by Sarah Addison Allen,,2/8/15,FIRST FROST,NA,1,1
Vintage,0,,Rob Thomas and Jennifer Graham,None,0,9.78E+12,,by Rob Thomas and Jennifer Graham,,2/8/15,VERONICA MARS: MR. KISS AND TELL,NA,1,6
Dutton,0,,Tami Hoag,698157273,0,9.78E+12,,by Tami Hoag,,2/1/15,COLD COLD HEART,NA,1,3
Harlequin,0,,Marie Force,1426898762,0,9.78E+12,,by Marie Force,,2/1/15,FATAL SCANDAL,NA,1,1
Harper Sloan,0,,Harper Sloan,None,0,A00B00RSL6G2K,,by Harper Sloan,,2/1/15,CORPS SECURITY: THE SERIES,NA,1,4
Putnam,0,,Jayne Ann Krentz,1101621001,0,9.78E+12,,by Jayne Ann Krentz,,1/25/15,TRUST NO ONE,NA,1,3
Del Rey,0,,Pierce Brown,345539826,0,9.78E+12,,by Pierce Brown,,1/25/15,GOLDEN SON,NA,1,1
Zebra/Kensington,0,,Fern Michaels,None,0,9.78E+12,,by Fern Michaels,,1/18/15,EYES ONLY,NA,1,1
Dutton,0,,Brad Taylor,,0,9.78E+12,,by Brad Taylor,,1/18/15,NO FORTUNATE SON,NA,1,3
Putnam,0,,W E B Griffin and William E Butterworth IV,,0,9.78E+12,,by W. E. B. Griffin and William E. Butterworth IV,,1/18/15,THE ASSASSINATION OPTION,NA,1,3
Mira,0,,Sherryl Woods,1460345797,0,9.78E+12,,by Sherryl Woods,,1/18/15,DOGWOOD HILL,NA,1,1
Penguin Press,0,https://www.nytimes.com/2014/02/27/books/redeployment-iraq-war-stories-by-phil-klay.html,Phil Klay,1594204993,0,9.78E+12,https://www.nytimes.com/2014/03/09/books/review/redeployment-by-phil-klay.html,by Phil Klay,,1/4/15,REDEPLOYMENT,NA,1,1
Jove,0,,Laurell K Hamilton,None,0,9.78E+12,,by Laurell K. Hamilton,,12/21/14,JASON,NA,1,1
Atria,0,,Abbi Glines,1476776083,0,9.78E+12,,by Abbi Glines,,12/21/14,YOU WERE MINE,NA,1,3
Ampersand,0,,Kristen Pro,None,0,9.78E+12,,by Kristen Proby,,12/21/14,FOREVER WITH ME,NA,1,3
Harlequin,0,,Gena Showalter,,0,9.78E+12,,by Gena Showalter,,12/14/14,THE DARKEST TOUCH,NA,1,3
St. Martin's,0,,Lisa Scottoline,1250027683,0,9.78E+12,,by Lisa Scottoline,,12/14/14,BETRAYED,NA,1,1
Avon/HarperCollins,0,,Sarah MacLean,62065416,0,9.78E+12,,by Sarah MacLean,,12/14/14,NEVER JUDGE A LADY BY HER COVER,NA,1,7
Bantam,0,,Janet Evanovich and Lee Goldberg,None,0,9.78E+12,,by Janet Evanovich and Lee Goldberg,,12/7/14,THE JOB,NA,1,1
Simon & Schuster,0,,Richard Paul Evans,1476728208,0,9.78E+12,,by Richard Paul Evans,,12/7/14,THE MISTLETOE PROMISE,NA,1,3
Helen Cooper,0,,Helen Cooper,1940218365,0,9.78E+12,,by Helen Cooper,,11/23/14,ALPHA BILLIONAIRE 3,NA,1,3
Deborah Bladon,0,,Deborah Bladon,None,0,9.78E+12,,by Deborah Bladon,,11/23/14,RUIN: PART 3,NA,1,3
Berkley,0,,Marie Force,,0,9.78E+12,,by Marie Force,,11/23/14,I SAW HER STANDING THERE,NA,1,5
Deborah Bladon,0,,Deborah Bladon,None,0,9.78E+12,,by Deborah Bladon,,11/23/14,RUIN: PART 1,NA,1,3
Gallery Books,0,,Christina Lauren,1476777977,0,9.78E+12,,by Christina Lauren,,11/23/14,DIRTY ROWDY THING,NA,1,3
DAW,0,,Patrick Rothfuss,,0,9.78E+12,,by Patrick Rothfuss,,11/16/14,THE SLOW REGARD OF SILENT THINGS,NA,1,6
Delacorte,0,,Danielle Steel,None,0,9.78E+12,,by Danielle Steel,,11/16/14,PEGASUS,NA,1,1
Harlequin,0,,Susan Mallery,1459256476,0,9.78E+12,,by Susan Mallery,,11/16/14,YOURS FOR CHRISTMAS,NA,1,3
Pantheon,0,,Alexander McCall Smith,None,0,9.78E+12,,by Alexander McCall Smith,,11/16/14,THE HANDSOME MAN'S DE LUXE CAFÌä,NA,1,8
Signet,0,,Mary Balogh,698156080,0,9.78E+12,,by Mary Balogh,,11/16/14,ONLY ENCHANTING,NA,1,1
Morrow,0,,Jay Crownover,,0,9.78E+12,,by Jay Crownover,,11/9/14,ROWDY,NA,1,1
Dial,0,,Sophie Kinsella,081299387X,0,9.78E+12,,by Sophie Kinsella,,11/9/14,SHOPAHOLIC TO THE STARS,NA,1,4
Bella Andre,0,,Bella Andre,None,0,9.78E+12,,by Bella Andre,,11/2/14,I LOVE HOW YOU LOVE ME,NA,1,6
Ballantine,0,,Debbie Macomber,,0,9.78E+12,,by Debbie Macomber,,10/26/14,MR. MIRACLE,NA,1,1
Berkley,0,,Joanna Wylde,None,0,9.78E+12,,by Joanna Wylde,,10/26/14,REAPER'S STAND,NA,1,3
Simon & Schuster,0,,Zane,743446577,0,9.78E+12,,by Zane,,10/26/14,ADDICTED,NA,1,1
New American Library,0,,J R Ward,,0,9.78E+12,,by J. R. Ward,,10/26/14,IMMORTAL,NA,1,1
Putnam,0,,Catherine Coulter and J T Ellison,1101618752,0,9.78E+12,,by Catherine Coulter and J. T. Ellison,,10/19/14,THE LOST KEY,NA,1,3
St. Martin's,0,,Iris Johansen,None,0,9.78E+12,,by Iris Johansen,,10/19/14,THE PERFECT WITNESS,NA,1,3
Scribner,0,,Stephen King,150110442X,0,9.78E+12,,by Stephen King,,10/19/14,A GOOD MARRIAGE,NA,1,3
Harlequin,0,,Kristan Higgins,1460340248,0,9.78E+12,,by Kristan Higgins,,10/19/14,IN YOUR DREAMS,NA,1,3
Harper Sloan,0,,Harper Sloan,None,0,A00B00NOCBOUG,,by Harper Sloan,,10/19/14,LOCKE,NA,1,1
Bantam,0,,Kathy Reichs,None,0,9.78E+12,,by Kathy Reichs,,10/12/14,BONES NEVER LIE,NA,1,3
Kristen Ashley,0,,Kristen Ashley,None,0,A00B00M8T7P86,,by Kristen Ashley,,10/12/14,DEACON,NA,1,1
Ellora's Cave,0,,Laurann Dohner,1419993186,0,9.78E+12,,by Laurann Dohner,,10/12/14,DARKNESS,NA,1,1
Zebra,0,,Fern Michaels,None,0,9.78E+12,,by  Fern Michaels,,10/5/14,TAKE DOWN,NA,1,1
Putnam,0,,Jonathan Kellerman and Jesse Kellerman,None,0,9.78E+12,,by Jonathan Kellerman and Jesse Kellerman,,10/5/14,THE GOLEM OF HOLLYWOOD,NA,1,4
