publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,date,title,weeks_on_list,num_words_in_title
Zebra,0,,Lisa Jackson,1420136070,0,9.78E+12,,by Lisa Jackson,4/2/17,EXPECTING TO DIE,3,3
St. Martin's,0,,J D Robb,1250123143,0,9.78E+12,,by J. D. Robb,3/12/17,ECHOES IN DEATH,3,3
Washington Square,0,,Fredrik Backman,1501115073,0,9.78E+12,,by Fredrik Backman,3/12/17,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,3,10
Ballantine,0,,J P Delaney,425285057,0,9.78E+12,,by J P Delaney,2/26/17,THE GIRL BEFORE,3,3
Delacorte,0,,Danielle Steel,345531116,0,9.78E+12,,by Danielle Steel,2/5/17,THE MISTRESS,3,1
Berkley,0,,Nora Roberts,425280128,0,9.78E+12,,by Nora Roberts,1/8/17,ISLAND OF GLASS,3,3
Grand Central,0,,James Patterson and Kathryn Fox,1455568139,0,9.78E+12,,by James Patterson and Kathryn Fox,11/6/16,MISSING,3,1
Viking,0,,Tana French,None,0,9.78E+12,,by Tana French,11/6/16,THE TRESPASSER,3,1
"Little, Brown",0,,James Patterson and Maxine Paetro,031627402X,0,9.78E+12,,by James Patterson and Maxine Paetro,10/30/16,WOMAN OF GOD,3,3
Gallery Books,0,,Catherine Coulter,1501150316,0,9.78E+12,,by Catherine Coulter,9/11/16,INSIDIOUS,3,1
Delacorte,0,,Danielle Steel,1101885572,0,9.78E+12,,by Danielle Steel,8/7/16,MAGIC,3,1
Berkley,0,,Nora Roberts,042528011X,0,9.78E+12,,by Nora Roberts,7/17/16,BAY OF SIGHS,3,3
EverAfter Romance,0,,Vi Keeland and Penelope Ward,1942215398,0,9.78E+12,,by Vi Keeland and Penelope Ward,5/15/16,STUCK-UP SUIT,3,3
Putnam,0,,C J Box,None,0,9.78E+12,,by C. J. Box,4/10/16,OFF THE GRID,3,3
Morrow/HarperCollins,0,,Greg Iles,62311158,0,9.78E+12,,by Greg Iles,4/10/17,MISSISSIPPI BLOOD,2,1
HQN,0,,Linda Lael Miller,037378970X,0,9.78E+12,,by Linda Lael Miller,4/10/17,FOREVER A HERO,2,3
Putnam,0,,C J Box,399176616,0,9.78E+12,,by C. J. Box,4/10/17,VICIOUS CIRCLE,2,1
Delacorte,0,,Danielle Steel,110188388X,0,9.78E+12,,by Danielle Steel,4/2/17,DANGEROUS GAMES,2,1
Ballantine,0,,Jonathan Kellerman,345541448,0,9.78E+12,,by Jonathan Kellerman,3/12/17,HEARTBREAK HOTEL,2,1
Random House,0,https://www.nytimes.com/2017/02/09/books/review/lincoln-in-the-bardo-george-saunders.html,George Saunders,812995341,0,9.78E+12,,by George Saunders,3/12/17,LINCOLN IN THE BARDO,2,4
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,1/29/17,BELOW THE BELT,2,3
St. MartinŠ—Ès,0,,B A Paris,1250121019,0,9.78E+12,,by B. A. Paris,12/18/16,BEHIND CLOSED DOORS,2,3
Tijan,0,,Tijan,None,0,A00B01KSW4QJA,,by Tijan,9/18/16,ANTI-STEPBROTHER,2,1
Bantam,0,,Janet Evanovich and Phoef Sutton,553392689,0,9.78E+12,,by Janet Evanovich and Phoef Sutton,9/11/16,CURIOUS MINDS,2,1
Ballantine,0,,Tess Gerritsen,345543866,0,9.78E+12,,by Tess Gerritsen,8/7/16,DIE AGAIN,2,1
Putnam,0,,Grant Blackwood,399176802,0,9.78E+12,,by Grant Blackwood,7/10/16,TOM CLANCY: DUTY AND HONOR,2,5
"Little, Brown",0,,James Patterson with Max DiLallo,316317128,0,9.78E+12,,by James Patterson with Max DiLallo,7/3/16,ZOO 2,2,1
Ballantine,0,,Justin Cronin,804177643,0,9.78E+12,,by Justin Cronin,6/19/16,THE CITY OF MIRRORS,2,4
Lauren Blakely,0,,Lauren Blakely,None,0,A00B01F1476OC,,by Lauren Blakely,5/29/16,MISTER O,2,1
Knopf,0,https://www.nytimes.com/2016/05/08/books/review/t-c-boyle-reviews-richard-russos-everybodys-fool.html,Richard Russo,307270645,0,9.78E+12,,by Richard Russo,5/29/16,EVERYBODY'S FOOL,2,3
Minotaur,0,,Steve Berry,1466862610,0,9.78E+12,,by Steve Berry,5/1/16,THE 14TH COLONY,2,3
Anchor,0,,Lincoln Child,385531397,0,9.78E+12,,by Lincoln Child,4/10/16,THE THIRD GATE,2,3
"Little, Brown",0,,James Patterson and David Ellis,316464147,0,9.78E+12,,by James Patterson and David Ellis,4/10/17,THE BLACK BOOK,1,3
Avon,0,,Lynsay Sands,62468855,0,9.78E+12,,by Lynsay Sands,4/10/17,IMMORTAL UNCHAINED,1,1
EverAfter Romance,0,,Corinne Michaels,1942834217,0,9.78E+12,,by Corinne Michaels,4/10/17,SAY I'M YOURS,1,4
Scribner,0,,Stephen King,1501141236,0,9.78E+12,,by Stephen King,4/10/17,IT,1,1
Berkley,0,,Christine Feehan,399583947,0,9.78E+12,,by Christine Feehan,4/9/17,BOUND TOGETHER,1,1
Ballantine,0,,Debbie Macomber,553391976,0,9.78E+12,,by Debbie Macomber,4/9/17,IF NOT FOR YOU,1,4
Touchstone,0,,J A Jance,1501110810,0,9.78E+12,,by J. A. Jance,4/9/17,MAN OVERBOARD,1,1
Gallery Books,0,,Catherine Coulter and J T Ellison,1501150359,0,9.78E+12,,by Catherine Coulter and J. T. Ellison,4/2/17,THE DEVIL'S TRIANGLE,1,4
Putnam,0,,Clive Cussler and Justin Scott,399575618,0,9.78E+12,,by Clive Cussler and Justin Scott,4/2/17,THE CUTTHROAT,1,1
Harper/HarperCollins,0,,Jacqueline Winspear,62436619,0,9.78E+12,,by Jacqueline Winspear,4/2/17,IN THIS GRAVE HOUR,1,4
Tyndale House,0,,Joel C Rosenberg,None,0,9.78E+12,,by Joel C. Rosenberg,4/2/17,WITHOUT WARNING,1,1
Ace,0,,Patricia Briggs,698195817,0,9.78E+12,,by Patricia Briggs,3/26/17,SILENCE FALLEN,1,1
Berkley,0,,Maya Banks,698176197,0,9.78E+12,,by Maya Banks,3/26/17,BRIGHTER THAN THE SUN,1,4
ROC,0,,Anne Bishop,698190459,0,9.78E+12,,by Anne Bishop,3/26/17,ETCHED IN BONE,1,3
St. Martin's,0,,Allison Brennan,1250105277,0,9.78E+12,,by Allison Brennan,3/26/17,MAKE THEM PAY,1,3
Avon,0,,Jeaniene Frost,62075853,0,9.78E+12,,by Jeaniene Frost,3/19/17,INTO THE FIRE,1,3
